Unnamed: 0,course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled,url
162,Fundamentals of Graphic Design,California Institute of the Arts,COURSE,4.8,Beginner,290k,https://www.coursera.org/
130,Fundamentals of Immunology,Rice University,SPECIALIZATION,4.7,Intermediate,20k,https://www.coursera.org/
415,Fundamentals of Immunology: Innate Immunity and B-Cell Function,Rice University,COURSE,4.7,Intermediate,18k,https://www.coursera.org/
633,Fundamentals of Music Theory,The University of Edinburgh,COURSE,4.6,Beginner,180k,https://www.coursera.org/
77,Fundamentals of Project Planning and Management,University of Virginia,COURSE,4.7,Beginner,120k,https://www.coursera.org/
165,Fundamentals of Quantitative Modeling,University of Pennsylvania,COURSE,4.6,Mixed,110k,https://www.coursera.org/
475,Fundamentals of Reinforcement Learning,University of Alberta,COURSE,4.8,Intermediate,22k,https://www.coursera.org/
520,Fundamentals of Visualization with Tableau,"University of California, Davis",COURSE,4.5,Beginner,81k,https://www.coursera.org/
742,Fundamentos Empresariales,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,25k,https://www.coursera.org/
857,Fundamentos Estratégicos Empresariales,Universidad Nacional Autónoma de México,SPECIALIZATION,4.6,Beginner,56k,https://www.coursera.org/
724,Fundamentos de Excel para Negocios,Universidad Austral,COURSE,4.7,Beginner,150k,https://www.coursera.org/
388,Fundamentos de Finanzas Empresariales,Universidad de los Andes,COURSE,4.8,Beginner,110k,https://www.coursera.org/
705,Fundamentos de la escritura,Tecnológico de Monterrey,COURSE,4.6,Beginner,47k,https://www.coursera.org/
370,Fundraising and Development,"University of California, Davis",SPECIALIZATION,4.6,Beginner,4.9k,https://www.coursera.org/
145,Futures Thinking,Institute for the Future,SPECIALIZATION,4.8,Beginner,9.4k,https://www.coursera.org/
115,G Suite Administration,Google Cloud,SPECIALIZATION,4.7,Beginner,10k,https://www.coursera.org/
286,"GIS, Mapping, and Spatial Analysis",University of Toronto,SPECIALIZATION,4.8,Beginner,140k,https://www.coursera.org/
206,Game Design and Development,Michigan State University,SPECIALIZATION,4.7,Intermediate,100k,https://www.coursera.org/
141,Game Theory,Stanford University,COURSE,4.6,Beginner,260k,https://www.coursera.org/
268,Gamification,University of Pennsylvania,COURSE,4.8,Mixed,110k,https://www.coursera.org/
802,Gender and Sexuality: Diversity and Inclusion in the Workplace,University of Pittsburgh,COURSE,4.7,Beginner,14k,https://www.coursera.org/
76,Genomic Data Science,Johns Hopkins University,SPECIALIZATION,4.4,Intermediate,80k,https://www.coursera.org/
79,Geographic Information Systems  (GIS),"University of California, Davis",SPECIALIZATION,4.8,Beginner,97k,https://www.coursera.org/
694,Geopolitics of Europe,Sciences Po,COURSE,4.3,Mixed,19k,https://www.coursera.org/
567,Geopolítica y gobernanza global: riesgos y oportunidades,ESADE Business and Law School,COURSE,4.8,Mixed,34k,https://www.coursera.org/
650,Gestión de organizaciones efectivas,Pontificia Universidad Católica de Chile,COURSE,4.7,Mixed,47k,https://www.coursera.org/
540,Get Interactive: Practical Teaching with Technology,Bloomsbury Learning Exchange,COURSE,4.7,Beginner,14k,https://www.coursera.org/
681,Getting Started With Music Theory,Michigan State University,COURSE,4.5,Beginner,59k,https://www.coursera.org/
568,Getting Started with AWS Machine Learning,Amazon Web Services,COURSE,4.5,Intermediate,73k,https://www.coursera.org/
734,Getting Started with Go,"University of California, Irvine",COURSE,4.6,Intermediate,59k,https://www.coursera.org/
422,Getting Started with Google Kubernetes Engine,Google Cloud,COURSE,4.5,Intermediate,75k,https://www.coursera.org/
411,Getting Started with Google Sheets,Google Cloud,COURSE,4.6,Beginner,18k,https://www.coursera.org/
538,Getting Started with SAS Programming,SAS,COURSE,4.9,Beginner,22k,https://www.coursera.org/
192,Global Diplomacy – Diplomacy in the Modern World,SOAS University of London,COURSE,4.6,Mixed,79k,https://www.coursera.org/
400,Global Diplomacy: the United Nations in the World,SOAS University of London,COURSE,4.7,Beginner,29k,https://www.coursera.org/
643,Global Energy and Climate Policy,SOAS University of London,COURSE,4.5,Beginner,10k,https://www.coursera.org/
578,Global Environmental Management,Technical University of Denmark (DTU),COURSE,4.6,Intermediate,22k,https://www.coursera.org/
835,Global Financial Markets and Instruments,Rice University,COURSE,4.6,Mixed,37k,https://www.coursera.org/
761,Global Financing Solutions  (by EDHEC and Société Générale),EDHEC Business School,COURSE,4.6,Intermediate,3.6k,https://www.coursera.org/
740,Global Trends for Business and Society,University of Pennsylvania,COURSE,4.8,Mixed,7.6k,https://www.coursera.org/
717,"Globalization, Economic Growth and Stability",IE Business School,SPECIALIZATION,4.8,Intermediate,44k,https://www.coursera.org/
355,Good with Words: Writing and Editing,University of Michigan,SPECIALIZATION,4.6,Beginner,3.8k,https://www.coursera.org/
227,Google Cloud Platform Big Data and Machine Learning Fundamentals,Google Cloud,COURSE,4.6,Intermediate,120k,https://www.coursera.org/
849,Google Cloud Platform Fundamentals for AWS Professionals,Google Cloud,COURSE,4.7,Intermediate,36k,https://www.coursera.org/
25,Google IT Automation with Python,Google,PROFESSIONAL CERTIFICATE,4.7,Beginner,93k,https://www.coursera.org/
4,Google IT Support,Google,PROFESSIONAL CERTIFICATE,4.8,Beginner,350k,https://www.coursera.org/
385,Grammar and Punctuation,"University of California, Irvine",COURSE,4.7,Mixed,430k,https://www.coursera.org/
513,Graphic Design Elements for Non-Designers,University of Colorado Boulder,SPECIALIZATION,4.7,Beginner,10k,https://www.coursera.org/
287,Greek and Roman Mythology,University of Pennsylvania,COURSE,4.8,Mixed,260k,https://www.coursera.org/
369,Greening the Economy: Sustainable Cities,Lund University,COURSE,4.6,Beginner,56k,https://www.coursera.org/
757,Guitar for Beginners,Berklee College of Music,COURSE,4.8,Mixed,210k,https://www.coursera.org/
710,Gut Check: Exploring Your Microbiome,University of California San Diego,COURSE,4.7,Mixed,62k,https://www.coursera.org/
329,"HTML, CSS, and Javascript for Web Developers",Johns Hopkins University,COURSE,4.8,Mixed,240k,https://www.coursera.org/
231,Habilidades Gerenciales,Universidad Nacional Autónoma de México,SPECIALIZATION,4.7,Beginner,43k,https://www.coursera.org/
785,Hacia una práctica constructivista en el aula,Pontificia Universidad Católica de Chile,COURSE,4.8,Mixed,62k,https://www.coursera.org/
803,Hardware Description Languages for FPGA Design,University of Colorado Boulder,COURSE,4.2,Intermediate,7.4k,https://www.coursera.org/
429,Healing with the Arts,University of Florida,COURSE,4.6,Mixed,39k,https://www.coursera.org/
244,Health Informatics,Johns Hopkins University,SPECIALIZATION,4.5,Beginner,8.1k,https://www.coursera.org/
739,Health Information Literacy for Data Analytics,"University of California, Davis",SPECIALIZATION,4.5,Intermediate,5.4k,https://www.coursera.org/
373,Healthcare Law,University of Pennsylvania,SPECIALIZATION,4.7,Intermediate,1.7k,https://www.coursera.org/
423,Healthcare Marketplace,University of Minnesota,SPECIALIZATION,4.4,Beginner,36k,https://www.coursera.org/
596,Healthcare Organization Operations,Rutgers the State University of New Jersey,SPECIALIZATION,4.6,Beginner,5.5k,https://www.coursera.org/
845,"High Performance Collaboration: Leadership, Teamwork, and Negotiation",Northwestern University,COURSE,4.8,Mixed,46k,https://www.coursera.org/
700,Homeland Security and Cybersecurity,University of Colorado System,SPECIALIZATION,4.7,Beginner,5.5k,https://www.coursera.org/
177,"Hotel Management: Distribution, Revenue and Demand Management",ESSEC Business School,SPECIALIZATION,4.6,Beginner,28k,https://www.coursera.org/
554,How Things Work: An Introduction to Physics,University of Virginia,COURSE,4.8,Intermediate,170k,https://www.coursera.org/
767,How To Create a Website in a Weekend! (Project-Centered Course),The State University of New York,COURSE,3.3,Mixed,140k,https://www.coursera.org/
609,How to Start Your Own Business,Michigan State University,SPECIALIZATION,4.1,Beginner,34k,https://www.coursera.org/
52,Human Resource Management: HR for People Managers,University of Minnesota,SPECIALIZATION,4.7,Beginner,98k,https://www.coursera.org/
34,IBM AI Engineering,IBM,PROFESSIONAL CERTIFICATE,4.6,Intermediate,140k,https://www.coursera.org/
571,IBM AI Enterprise Workflow,IBM,SPECIALIZATION,4.4,Advanced,3.5k,https://www.coursera.org/
